commit	entropy	skill_depth	CI	drama	DE	IGR	algo_align	greedy_gap	insight_inflect	status	game	algorithm	description
7c55381	104.5	53.2%	2.2	0.77	4.13	4.71	78.1%	38.2%	D2	keep	Rift	Binary Search	2D terrain probe game — binary search per row + cross-row inference
d870388	12.5	22.2%	0.4	0.90	1.10	2.30	100%	33.8%	D2	keep	Pinch	Two Pointers	Sorted tile array with converging cursors, find pairs summing to target
e1d28c5	15.2	66.9%	0.8	0.90	0.96	8.29	100%	56.3%	D3	keep	Pane	Sliding Window	Color gem row with draggable window edges, find minimum all-color window
—	9.6	86.0%	6.8	0.02	0.47	8.35	65.6%	96.0%	D1	kill	Crate	Stack	Conveyor belt stack-sorting — DE=0.47 (forced path), drama=0.02 (monotonic progress)
—	106.1	89.1%	1.0	1.00	4.18	6.00	100%	476%	D2	keep	Tag	Hash Map	Registry stamping for O(1) duplicate detection — strongest algorithm game metrics
—	9.8	14.4%	1.5	0.50	1.23	1.18	50.4%	4.6%	—	kill	Nest	Stack	Bracket matching with depth scoring — greedy-gap 4.6% (ordering doesn't matter)
—	11.5	64.4%	0.0	1.00	1.50	2.00	100%	179%	D2	keep	Delve	DFS/Backtracking	Dungeon exploration with keys/locks — DFS with pruning
—	32.4	100%	14.6	0.98	1.94	4.49	100%	27.7%	D3	keep	Ward	Scoped Hash Registries	Sudoku board patrol — file each filled cell into row, column, and chamber ledgers instead of rescanning neighborhoods
—	22.7	100%	5.8	0.72	1.56	1.28	100%	64.4%	D3	keep	Trailhead	Hash Map	Stake unsorted mile markers, then survey only true starts to find the longest consecutive ridge run
739cdf2	52.3	91.2%	26.3	0.68	2.55	4.29	100%	77.6%	D3	keep	Foldline	Two Pointers	Noisy inscription audit — trim non-alphanumeric blockers at the live ends and compare normalized endpoints instead of rebuilding the whole string
—	67.0	75.0%	2.6	0.92	2.25	1.66	100%	42.2%	D3	keep	Truce	Two Pointers	Zero-balance treaty broker — fix one anchor, sweep the inner pair by sign, and keep the same anchor alive to catalog every unique 3Sum trio
—	10.0	72.0%	1.2	0.91	1.58	3.66	100%	44.9%	D2	keep	Tidewall	Two Pointers	Storm-battered shoreline sweep — keep the best basin seen so far and release only the wall that is limiting the waterline
—	61.9	33.5%	1.2	0.99	2.04	3.78	100%	33.5%	D2	keep	Ticker	Sliding Window	Price-tape stock sweep — carry the cheapest buy anchor forward and compare each later day against it exactly once
—	18.0	62.2%	3.4	0.53	1.52	3.10	100%	41.9%	D3	keep	Echo Run	Sliding Window	One-pass radio band sweep — keep the longest clean signal by trimming left on echoes instead of restarting
—	16.0	63.1%	3.0	0.53	1.38	2.68	100%	33.7%	D3	keep	Patch Parade	Sliding Window	Parade banner sweep — keep the longest stretch that can still be repainted into one emblem, and trim left only when the repair debt would exceed k
—	20.1	60.0%	5.3	0.21	1.38	2.45	100%	28.9%	D2	keep	Manifest	Sliding Window	Cargo manifest sweep — expand until every required stamp is covered, then shave the left edge to secure the smallest valid satchel
—	12.1	100%	0.2	0.55	1.52	2.89	100%	24.0%	D3	keep	Claspline	Stack	Ceremonial clasp-route audit — pile open seals in one live vault, compare every closer to the current top, and fail the route the moment burial breaks the fit
—	14.6	44.5%	0.2	0.56	1.29	1.99	100%	44.5%	D3	keep	Breakline	Binary Search	Rotated ridge hunt — compare the middle beacon to the tail sentinel, and discard only the arc that cannot still hide the wrap break
—	3.4	67.5%	0.39	0.76	1.66	2.05	100%	67.5%	D2	keep	Bandshift	Binary Search	Rotated relay-chain search — check mid first, then keep only the ordered half whose bounds can still contain the target
—	1.9	66.5%	0.66	0.76	1.58	1.16	100%	66.5%	D3	keep	Backhaul	Linked List Pointer Rewiring	Convoy relinking — save the next car before swinging the current hitch backward, then advance the anchor and live handle together
—	3.0	63.3%	0.45	0.74	1.51	1.08	100%	63.3%	D3	keep	Mainline	Linked List Pointer Rewiring	Sorted siding merge — compare only the two live heads, couple the smaller one onto one departure tail, then stitch the untouched remainder in one splice
—	4.2	47.3%	4.24	0.38	1.00	3.00	100%	72.0%	D3	keep	Wakeline	Runner Pointers	Two-speed buoy patrol — pulse the drifter one hop and the cutter two until escape proves open water or collision proves a loop
—	2.5	61.4%	0.32	0.75	2.75	0.83	100%	61.4%	D3	keep	Lacehook	Linked List Pointer Rewiring	Garland reorder — pace slow/fast to the true cut, reverse the back strand safely, then lace one far lantern after each front lead
—	14.0	63.5%	3.05	0.15	1.00	2.26	100%	63.5%	D3	keep	Towline	Fixed-Gap Runner Pointers	Dummy-dock towline — send one scout one extra link ahead from the dock, tow both hands together, then cut the next rope when the scout clears
—	47.9	66.9%	11.8	0.16	1.43	0.55	100%	66.9%	D3	keep	Crownline	Heap / Priority Queue	Crown-ladder k-way merge — keep one live head from each sorted siding, dispatch the crowned smallest car, and refill only that lane before repairing through the lower child
—	124.0	31.3%	4.2	0.36	1.91	0.72	100%	7.9%	D3	keep	Boughturn	Tree Recursion / Subtree Mirroring	Mirror-canopy traversal — swap the current branch hub, then finish one child subtree before crossing to the sibling side
—	33.7	60.2%	3.9	0.47	2.07	0.58	100%	23.0%	D3	keep	Highbough	Tree Recursion / Bottom-Up Height	Canopy height gauge — seal child branches first, then keep the larger child height plus one until the crown is certified
—	11.2	36.4%	4.25	0.37	2.03	1.11	100%	25.4%	D2	keep	Twinbough	Tree Recursion / Paired Equality	Twin-grove proof — compare paired crests in lockstep, finish both child lanes, then certify the parent only when both sides already came back safe
—	15.1	52.6%	2.88	0.80	2.00	0.13	100%	19.9%	D2	keep	Graftguard	Tree Recursion / Subtree Search	Graft hunt — test whether the full sprig fits at the current host branch, then search child branches before clearing the branch itself
—	6.3	36.0%	1.0	0.68	1.47	1.87	100%	73.5%	D3	keep	Splitbough	BST Split Navigation	Shared-fork canopy patrol — keep both target markers on one side until they split, then claim the first common branch without tracing both full routes
—	25.3	71.0%	2.85	0.50	2.71	1.74	100%	24.2%	D3	keep	Chorusbough	BFS	Canopy chorus queue — finish the live rail from the front, keep fresh children waiting in the next rail, and file one sheet per tree level
—	20.6	39.8%	0.30	0.68	1.25	2.00	100%	24.0%	D3	keep	Charterbough	BST Bounds Propagation	Live-charter BST audit — carry inherited floor and ceiling bounds down the canopy, seal legal branches, and catch hidden ancestor-bound breaches the moment they surface
—	30.1	46.7%	2.65	0.76	1.57	1.17	100%	46.7%	D2	keep	Rankbough	BST Inorder Rank Traversal	Search-tree orchard harvest — keep the live return lane, ring blooms in inorder rank, and stop exactly when the kth branch lands
—	24.6	39.5%	3.15	0.69	0.65	1.00	100%	39.5%	D3	keep	Tracebough	Tree Reconstruction / Traversal Split Stack	Dual-trace grove rebuild — seat the next preorder crest into the live inorder plot, then bank the right child card first so the left plot stays on top
—	39.9	50.6%	5.6	0.42	2.04	0.60	100%	12.1%	D3	keep	Spanbough	Tree Recursion / Split Path Gain	Storm-bent canopy span audit — each branch sends up only one helpful child route, while the best full span may bend anywhere below the crown
—	17.0	61.8%	14.5	0.61	1.28	0.69	90.5%	60.5%	D3	keep	Hollowbough	Tree Codec / Null-Marker Preorder	Courier ribbon grove codec — stamp every live branch or hollow hook now, then bank the right child task first so the same preorder ribbon can regrow the tree
—	16.0	42.0%	2.7	0.44	1.00	1.35	97.0%	28.2%	D3	keep	Midmoor	Heap / Priority Queue	Dual-harbor median watch — keep the lower half under a max crown, the upper half under a min crown, and ferry only the exposed crown that restores the live split
—	2.5	51.5%	10.55	0.77	1.01	2.21	99.0%	51.5%	D1	keep	Stillpath	DFS / Backtracking	Sorted cellar recipe search — keep one nondecreasing blend alive, reuse the current herb while it fits, then retreat one layer and continue from the next heavier shelf slot
—	3.2	49.3%	6.8	0.20	0.83	1.28	100%	24.0%	D2	keep	Runepath	DFS / Backtracking	Grid script search — keep one live adjacent trail for the target word, never reuse a tile on that trail, and peel back one step when the branch dies
—	26.2	40.1%	11.6	0.88	1.51	1.71	100%	40.1%	D3	keep	Stemvault	Trie	Shared-stem archive — carve each opening once, seal true word endings, and answer exact-word or prefix warrants from the same branching vault
—	69.6	40.8%	7.8	0.75	1.74	1.71	100%	40.8%	D3	keep	Veilvault	Trie / Wildcard Branch Search	Veiled archive warrants — reuse shared stems, open one wildcard branch at a time, and backtrack only to the latest live veil until one sealed word survives
—	11.0	45.8%	9.4	1.00	0.80	1.26	100%	45.8%	D1	keep	Stemweave	Trie / Board Prefix Pruning	Shared-stem board harvest — keep one live board trail only while it still matches a trie prefix, bank short seals without resetting, and prune the branch the moment no listed word still fits
—	25.1	48.3%	11.2	0.67	1.00	1.93	100%	48.3%	D3	keep	Islemark	Grid Flood Fill / Component Counting	Storm-map island sweep — count fresh land once, then let one launch chart the whole orthogonally connected coast before the row scan continues
—	10.6	80.0%	4.4	0.85	1.41	1.82	100%	80.0%	D2	keep	Echoforge	Graph Clone / Memoized Traversal	Mirror-hall graph walk — forge one echo per original beacon, then close every revisit wire onto that stored echo instead of duplicating the node
—	34.3	82.2%	10.6	0.78	2.12	2.69	100%	65.5%	D2	keep	Crosstide	Reverse Reachability / Dual-Border Flood Fill	Dual-border tide chart — run one reverse flood from each ocean edge, climb only uphill or flat, and keep the basins both seas can still reach
—	14.0	73.0%	3.7	0.86	1.42	1.30	100%	80.0%	D2	keep	Syllabind	Topological Sort	Course-catalog peel — clear every zero-seal course, peel its outgoing locks, and if the ready rail empties before the catalog does, the leftovers form a cycle
—	7.1	44.8%	1.6	0.56	1.00	1.91	100%	40.0%	D4	keep	Rootbond	Union-Find	Realm charter audit — bind only different clan crests, flag same-crest loop ropes, and certify the charter only if one clean realm remains
—	21.4	76.6%	4.2	0.74	1.44	1.55	100%	60.0%	D2	keep	Lexiforge	Topological Sort / Alien Dictionary	Alien shelf audit — compare adjacent words only, stop at the first split to forge one rune rule, reject longer-before-prefix breaches, and peel the zero-seal rail into an alphabet
—	7.2	90.1%	4.0	0.77	1.35	2.31	100%	90.1%	D3	keep	Steploom	1D Dynamic Programming	Stair-route ribbon — seal each new stair exactly once from the two sealed stairs beneath it, and stop paying the exploding scout tax to recount routes from scratch
—	24.2	51.1%	0.8	0.59	1.11	2.71	100%	15.5%	D3	keep	Nightledger	1D Dynamic Programming	Quiet-haul prefix ledger — for each house, keep the better of the carried total or the current stash plus the sealed two-back total
—	36.0	53.4%	2.2	0.62	1.48	2.74	100%	21.5%	D3	keep	Loopledger	1D Dynamic Programming	Alarmed ring ledger — solve the two legal cuts of the circular street separately, then crown the larger finished quiet-haul total
—	25.1	60.0%	3.4	0.65	1.73	1.81	100%	38.9%	D3	keep	Glyphrail	Digit Prefix Decode DP	Cipher-ribbon decode ledger — add every legal one-step and two-step lane, keep zeros alive only through valid pairs, and seal dead prefixes at 0
—	33.6	43.5%	0.4	0.60	2.23	2.70	100%	40.0%	D3	keep	Mintpath	1D Dynamic Programming	Exact-change amount ledger — test every denomination from smaller sealed totals, keep the cheapest predecessor-plus-one route, and mark unreachable totals as blocked
—	33.4	52.5%	2.8	0.63	2.26	2.35	100%	89.6%	D3	keep	Flipforge	Dual-Extreme Product DP	Signed forge strip — keep the best and worst product ending here because one negative multiplier can flip the live worst lane into the new best span
—	9.8	74.4%	3.8	0.75	2.42	4.27	100%	74.4%	D3	keep	Heartspan	Palindrome Center Expansion	Center-heart ribbon — test every odd rune and even seam as a palindrome heart, pulse outward while mirrored pairs hold, and keep the longest certified span
—	23.2	49.8%	2.2	0.76	1.98	2.09	100%	49.8%	D3	keep	Pulseledger	Palindrome Center Expansion	Mirror-census ribbon — every rune already counts once; pulse each odd rune and even seam outward, adding one ledger mark per successful layer until every palindrome is counted
—	26.3	52.0%	5.4	0.60	2.05	1.69	100%	13.7%	D3	keep	Spellsplice	Word-Break Prefix Reachability DP	Cut-ledger ribbon — seal each endpoint only when one earlier live cut plus a listed word reaches it exactly, and mark the endpoint dead when every matching seam starts from dead ground
—	8.4	47.2%	1.3	0.75	1.08	4.18	100%	16.8%	D3	keep	Crestchain	Increasing-Subsequence Endpoint DP	Ridge-marker endpoint ledger — seal each marker at 1 or one more than the strongest earlier lower badge, and crown the best sealed rise anywhere on the row
—	15.9	64.0%	2.2	1.00	1.27	16.09	100%	44.7%	D3	keep	Waygrid	2D Dynamic Programming	City route ledger — keep border plazas at 1, seal every interior plaza from north plus west, and abandon cheap direct surveys once the grid stops forgiving them
